R_Coleoptile_Biomass	Coleoptile Biomass reaction
R_SO3tex	sulfite transport via diffusion (extracellular to cytosol)
R_HCO3tex	bicarbonate transport via diffusion (extracellular to cytosol)
R_H2Stex	hydrogen sulfide transport via diffusion (extracellular to cytosol)
R_NH4tex	ammonia transport via diffusion (extracellular to cytosol)
R_ASNtex	L-asparagine transport via diffusion (extracellular to cytosol)
R_GLNtex	L-glutamine transport via diffusion (extracellular to cytosol)
R_ETOHtex	ethanol transport via diffusion (extracellular to cytosol)
R_ACtex	Acetate transport via diffusion (extracellular to cytosol)
R_LACtex	L-lactate transport via diffusion (extracellular to cytosol)
R_TSULtex	Thiosulfate transport via diffusion (extracellular to cytosol)
R_FE2tex	Fe2+ transport via diffusion (extracellular to cytosol)
R_FE3tex	Fe3+ transport via diffusion (extracellular to cytosol)
R_MG2tex	Mg2 transport via diffusion (extracellular to cytosol)
R_ALAtex	L-alanine transport via diffusion (extracellular to cytosol)
R_ARGtex	L-arginine transport via diffusion (extracellular to cytosol)
R_ASPtex	L-aspartate transport via diffusion (extracellular to cytosol)
R_CYStex	L-cysteine transport via diffusion (extracellular to cytosol)
R_GLUtex	L-glutamate transport via diffusion (extracellular to cytosol)
R_GLYtex	Glycine transport via diffusion (extracellular to cytosol)
R_HIStex	L-histidine transport via diffusion (extracellular to cytosol)
R_ILEtex	L-isoleucine transport via diffusion (extracellular to cytosol)
R_LEUtex	L-leucine transport via diffusion (extracellular to cytosol)
R_LYStex	L-lysine transport via diffusion (extracellular to cytosol)
R_METtex	L-methionine transport via diffusion (extracellular to cytosol)
R_PHEtex	L-phenylalanine transport via diffusion (extracellular to cytosol)
R_PROtex	L-proline transport via diffusion (extracellular to cytosol)
R_SERtex	L-serine transport via diffusion (extracellular to cytosol)
R_THRtex	L-threonine transport via diffusion (extracellular to cytosol)
R_TRPtex	L-tryptophan transport via diffusion (extracellular to cytosol)
R_TYRtex	L-tyrosine transport via diffusion (extracellular to cytosol)
R_VALtex	L-valine transport via diffusion (extracellular to cytosol)
R_PPASc	Soluble inorganic pyrophosphatase, cytosol
R_PPASs	Soluble inorganic pyrophosphatase, plastidic
R_PPASm	Soluble inorganic pyrophosphatase, mitochondrial
R_PPASx	Soluble inorganic pyrophosphatase, peroxisomal
R_PPASv	Soluble inorganic pyrophosphatase, vacuolar
R_PPAIcxc	Membrane -bound H+-inorganic pyrophosphatase, peroxisomal
R_PPAIcvc	Membrane -bound H+-inorganic pyrophosphatase, vacuolar
R_APLs	Acetolactate synthase, plastidic
R_APLm	Acetolactate synthase, mitochondrial
R_GLUSfm	Glutamate synthase (ferredoxin), mitochondrial
R_GLUSfs	Glutamate synthase (ferredoxin), plastidic
R_RBPC2s	Ribulose-bisphosphate carboxylase (photorespiration, Vc/Vo=3/1)
R_CYOO6m	Cytochrome c oxidase (complex IV)
R_NO3Rm	Nitrate reductase (Ubiquinol-8), mitochondrial
R_AOXm	Alternative oxidase
R_GTHRc	Glutathione reductase (NADPH), cytosolic
R_GTHRs	Glutathione reductase (NADPH), plastidic
R_GTHRm	Glutathione reductase (NADPH), mitochondrial
R_ATPAPc	Apyrase
R_GAL1PUTc	galactose-1-phosphate uridylyltransferase
R_URIKGc	uridine kinase (GTP), cytosolic
R_URIKGs	uridine kinase (GTP), plastidic
R_GTPCYTDPTc	GTP:cytidine 5-phosphotransferase, cytosolic
R_GTPCYTDPTs	GTP:cytidine 5-phosphotransferase, plastidic
R_DCTPDAc	deoxycytidine triphosphate deaminase
R_CTPRc	ribonucleoside-triphosphate reductase (CTP)
R_UTPRc	ribonucleoside-triphosphate reductase (UTP)
R_ATPRc	ribonucleoside-triphosphate reductase (ATP)
R_GTPRc	ribonucleoside-triphosphate reductase (GTP)
R_DURIKc	ATP:deoxyuridine 5-phosphotransferase
R_TMDKc	Thymidine kinase
R_DGSNHc	Deoxyguanosine 5-phosphohydrolase, cytosolic
R_DUMPc	2-Deoxyuridine 5-monophosphate phosphohydrolase
R_UMPc	Uridine 5-monophosphate phosphohydrolase, cytosolic
R_UMPs	Uridine 5-monophosphate phosphohydrolase, plastidic
R_CTPSc	CTP synthetase
R_DUMPKc	dUMP kinase 
R_DCMPKc	dCMP kinase 
R_CMPKc	CMP kinase, cytosolic
R_CMPKs	CMP kinase, plastidic
R_AMPPc	Adenosine 5-monophosphate phosphohydrolase
R_PEPSs	PEP synthetase
R_PDCm	pyruvate decarboxylase, mitochondrial
R_PDCs	pyruvate decarboxylase, plastidic
R_GDHym	Glutamate dehydrogenase (NADP+)
R_PYR5CDm	1-pyrroline-5-carboxylate dehydrogenase (NAD), mitochondrial
R_PYR5CDs	1-pyrroline-5-carboxylate dehydrogenase (NAD), plastidic
R_PYR5CDym	1-pyrroline-5-carboxylate dehydrogenase (NADP), mitochondrial
R_PYR5CDys	1-pyrroline-5-carboxylate dehydrogenase (NADP), plastidic
R_ASPCLc	L-aspartate 1-carboxy-lyase (beta-alanine-forming)
R_UPGCDc	UDP-glucose 6-dehydrogenase
R_THAc	alpha,alpha-trehalase
R_TPSc	alpha,alpha-trehalose-phosphate synthase (UDP-forming)
R_GLCNSc	1,3-beta-glucan synthase
R_GLCNGBc	Glucan endo-1,3-beta-D-glucosidase
R_GLCNGBv	Glucan endo-1,3-beta-D-glucosidase
R_GLCNGAc	Glucan 1,3-beta-glucosidase
R_GLCNGAv	Glucan 1,3-beta-glucosidase
R_RAFFINSc	raffinose synthase
R_ATDADc	ATP:dADP phosphotransferase
R_OXAACc	oxaloacetase
R_OXAODc	Oxaloacetate oxidase
R_NADS_LPAREN_nh4_RPAREN_c	NAD(+) synthetase
R_NADS_LPAREN_gln_DASH_L_RPAREN_c	NAD(+) synthetase (glutamine-hydrolysing)
R_NADHKc	NADH kinase, cytosolic
R_NADHKs	NADH kinase, plastidic
R_NADHKm	NADH kinase, mitochondrial
R_SUCL_LPAREN_GDP_RPAREN_m	Succinate--CoA ligase (GDP-forming)
R_SUCL_LPAREN_ADP_RPAREN_m	Succinate--CoA ligase (ADP-forming)
R_CTPCHc	GTP cyclohydrolase I
R_AASADc	alpha-aminoadipate reductase
R_SACCDyc	Saccharopine dehydrogenase (NADP+, L-lysine forming)
R_SACCDc	Saccharopine dehydrogenase (NAD+, L-glutamate forming)
R_PDHam1m	Pyruvate dehydrogenase (lipoamide) (reaction 1), mitochondrial
R_PDHam2m	Pyruvate dehydrogenase (lipoamide) (reaction 2), mitochondrial
R_PDHe2m	Dihydrolipoamide S-acetyltransferase, mitochondrial
R_PDHe3m	dihydrolipoyl dehydrogenase, mitochondrial
R_PDHam1s	Pyruvate dehydrogenase (lipoamide) (reaction 1), plastidic
R_PDHam2s	Pyruvate dehydrogenase (lipoamide) (reaction 2), plastidic
R_PDHe2s	Dihydrolipoamide S-acetyltransferase, plastidic
R_PDHe3s	dihydrolipoyl dehydrogenase, plastidic
R_AKGDHam1m	2-oxoglutarate dehydrogenase (lipoamide) (reaction 1), mitochondrial
R_AKGDHam2m	2-oxoglutarate dehydrogenase (lipoamide) (reaction 2), mitochondrial
R_AKGDHe2m	2-oxoglutarate dehydrogenase E2 component
R_OXADH1m	2-oxoadipate dehydrogenase E1 component
R_OXADH2m	2-oxoadipate dehydrogenase E2 component
R_GOXx	glycolate oxidase
R_AOBUTDx	(No enzyme)
R_THR3DHx	L-threonine 3-dehydrogenase
R_ASPALs	Aspartate--ammonia ligase
R_ASPALc	Aspartate--ammonia ligase
R_FDHNc	Formate dehydrogenase-N
R_AMPORc	3-aminopropanal:NAD+ oxidoreductase
R_ARG2MO	arginine 2-monooxygenase
R_GABUTAHc	4-Guanidinobutanamide amidohydrolase
R_GABUTNAHc	4-Guanidinobutanoate amidinohydrolase
R_CYSTBSs	Cystathionine beta-synthase
R_METSMTc	Methionine S-methyltransferase
R_AMETAHYCSTc	S-adenosyl-L-methionine:L-histidine N-methyltransferase
R_METLc	Methionine gamma-lyase
R_ACHYSLc	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)
R_AMCPCOc	aminocyclopropanecarboxylate oxidase
R_TRPMOc	tryptophan N-monooxygenase
R_IAOc	Indole-3-acetaldehyde oxidase
R_TOORc	Tryptamine:oxygen oxidoreductase(deaminating)
R_ALAADc	Aromatic-L-amino-acid decarboxylase
R_IAOHLc	3-Indoleacetaldoxime hydro-lyase
R_TRYPTORc	Tryptamine 5-hydroxylase
R_TRP2MOc	Tryptophan 2-monooxygenase
R_IAAGTc	indole-3-acetate beta-glucosyltransferase
R_IAAINOSTc	IAA-myo-inositol synthase
R_IAAIGSc	indol-3-ylacetyl-myo-inositol galactoside synthase
R_IAAIASc	indol-3-ylacetyl-myo-inositol arabinoside synthase
R_IAAALASc	indole-3-acetic acid amido synthetase (ala-L)
R_IAALEUSc	indole-3-acetic acid amido synthetase (leu-L)
R_IAAASPSc	indole-3-acetic acid amido synthetase (asp-L)
R_IAAGLUSc	indole-3-acetic acid amido synthetase (glu-L)
R_IAAGLNSc	indole-3-acetic acid amido synthetase (gln-L)
R_IAAALAHc	IAA-amino acid conjugate hydrolase (iaa-ala)
R_IAALEUHc	IAA-amino acid conjugate hydrolase (iaa-leu)
R_IAAAMYHc	indole-3-acetyl-myo-inositol hydrolase
R_LDH_Lc	L-lactate dehydrogenase
R_MALCOADCc	Malonyl-CoA decarboxylase
R_MALSADHm	malonate-semialdehyde dehydrogenase (acetylating)
R_MALSADHym	malonate-semialdehyde dehydrogenase (acetylating)
R_ICHDxm	Isocitrate dehydrogenase (NAD+)
R_ACALDHc	acetaldehyde dehydrogenase, cytosolic
R_ACALDHs	acetaldehyde dehydrogenase, plastidic
R_ACALDHm	acetaldehyde dehydrogenase, mitochondrial
R_GLYCRORc	Glycerol:NAD+ oxidoreductase
R_GLYCORc	Glycerol:NADP+ oxidoreductase
R_SSNOm	Succinate-semialdehyde dehydrogenase, mitochondrial
R_TYRDCc	Tyrosine decarboxylase
R_ARGDHTs	arogenate dehydratase
R_ARGOAT1s	L-arogenate:oxaloacetate aminotransferase
R_ARGOAT2s	L-arogenate:2-oxoglutarate aminotransferase
R_ARGDHs	arogenate dehydrogenase
R_ALCDx2c	alcohol dehydrogenase (NAD)
R_BETALDDHc	Betaine-aldehyde dehydrogenase
R_BETHCYSs	Betaine--homocysteine S-methyltransferase
R_DMTGDHs	dimethylglycine dehydrogenase
R_MTAMnh4m	Aminomethyltransferase
R_ALCDx1c	alcohol dehydrogenase
R_MANKINc	Hexokinase (D-mannose)
R_MDHARc	Monodehydroascorbate reductase (NADH), cytosolic
R_MDHARs	Monodehydroascorbate reductase (NADH), plastidic
R_MDHARm	Monodehydroascorbate reductase (NADH), mitochondrial
R_MDHARyc	Monodehydroascorbate reductase (NADPH), cytosolic
R_MDHARys	Monodehydroascorbate reductase (NADPH), plastidic
R_MDHARym	Monodehydroascorbate reductase (NADPH), mitochondrial
R_ASCOXc	L-ascorbate oxidase
R_ASCPO1c	L-ascorbate peroxidase (reaction 1), cytosolic
R_ASCPO1s	L-ascorbate peroxidase (reaction 1), plastidic
R_ASCPO2c	L-ascorbate peroxidase (reaction 2), cytosolic
R_ASCPO2s	L-ascorbate peroxidase (reaction 2), plastidic
R_GGT1v	gamma-glutamyltransferase (reaction 1)
R_GGT2c	gamma-glutamyltransferase (reaction 2)
R_GGLUCTc	gamma-glutamylcyclotransferase
R_OPAHirc	 5-Oxoproline amidohydrolase (ATP-hydrolysing) (ir)
R_CYSGLYv	cysteinylglycinase
R_GTHDHc	Glutathione dehydrogenase (ascorbate), cytosolic
R_GTHDHs	Glutathione dehydrogenase (ascorbate), plastidic
R_GALLDHm	Galactonolactone dehydrogenase, mitochondrial
R_GALDHc	L-galactose 1-dehydrogenase 
R_GDPGPc	GDP-L-galactose phosphorylase
R_GDPME1c	GDP-mannose 3,5-epimerase 
R_GDPME3c	GDP-D-galactose:GDP-L-gulose epimerase
R_FUCPGTc	fucose-1-phosphate guanylyltransferase 
R_LACDHc	Lactaldehyde dehydrogenase
R_FCPAc	L-fuculose-phosphate aldolase
R_FCKc	L-fuculokinase
R_FUKc	fucokinase 
R_SPSc	Sucrose-phosphate synthase, cytosol
R_SPSv	Sucrose-phosphate synthase, vacuolar
R_PGI1c	Glucose-6-phosphate isomerase (g6p-A), cytoslic
R_PGI1s	Glucose-6-phosphate isomerase (g6p-A), plastidic
R_PGI2c	Glucose-6-phosphate isomerase (g6p-B), cytoslic
R_PGI2s	Glucose-6-phosphate isomerase (g6p-B), plastidic
R_INVc	Invertase, cytosolic
R_INVv	Invertase, vacuolar
R_SUSc	Sucrose synthase, cytosolic
R_SUSv	Sucrose synthase, vacuolar
R_MI3PSc	myo-inositol-1-phosphate synthase
R_XYL2c	Xylose isomerase, cytosolic
R_XYL2v	Xylose isomerase, vacuolar
R_UDPACGEc	UDP-N-acetylglucosamine 4-epimerase
R_GAMPTc	ATP:D-glucosamine 6-phosphotransferase
R_GAMACTc	glucosamine acetyltransferase
R_CAGHc	chitobiose N-acetylglucosaminohydrolase
R_CHITNc	chitinase
R_ACGAM2Ec	N-acetylglucosamine 2-epimerase
R_UAG2EMAic	UDP-N-acetyl-D-glucosamine 2-epimerase (Hydrolysis)
R_CMPSASc	CMP sialic acid synthase
R_FKc	Fructokinase
R_TSSTm	Thiosulfate sulfurtransferase
R_TSSTs	Thiosulfate sulfurtransferase
R_SOXs	sulfite oxidase
R_3SPYRSPs	3-sulfinopyruvate hydrolase (spontaneous), plastidic
R_3SPYRSPm	3-sulfinopyruvate hydrolase (spontaneous), mitochondrial
R_LCYSTSs	cysteine dioxygenase, plastid
R_LCYSTSm	cysteine dioxygenase, mitochondrial
R_ALABATc	b-alanine-pyruvate aminotransferase
R_FPGSc	folylpolyglutamate synthetase
R_CALANc	beta-cyanoalanine nitrilase
R_CALASc	beta-cyanoalanine synthetase
R_MANITL	(R)-mandelonitrile lyase
R_BG1c	beta-glucosidase (prunasin forming)
R_BG2c	beta-glucosidase (amyloglucoside forming)
R_FORMHLc	formamide hydro-lyase (cyanide-forming)
R_SHMTs	Serine hydroxymethyltransferase, plastidic
R_SHMTm	Serine hydroxymethyltransferase, mitochondrial
R_MLTHFRc	methylenetetrahydrofolate reductase, cytosolic
R_MLTHFRs	methylenetetrahydrofolate reductase, plastidic
R_MLTHFR_Fs	methylenetetrahydrofolate reductase (ferredoxin), cytosolic
R_MLTHFR_Fc	methylenetetrahydrofolate reductase (ferredoxin), plastidic
R_GLPATs	Glucose-1-phosphate adenylyltransferase
R_RIBFKc	Riboflavin kinase
R_GAPDHys	Glyceraldehyde-3-phosphate dehydrogenase (NADP+), plastidic
R_GAPDH1c	Glyceraldehyde-3-phosphate dehydrogenase (NAD+), cytsolic
R_GAPDH2s	Glyceraldehyde-3-phosphate dehydrogenase (NAD+), plastidic
R_GAPDHc	Glyceraldehyde 3-phosphate dehydrogenase (phosphorylating), cytosolic
R_GAPDH1ys	Glyceraldehyde 3-phosphate dehydrogenase (phosphorylating), plastidic
R_KHKc	ketohexokinase
R_FALDTKc	Formaldehyde transketolase, cytosolic
R_FALDTKs	Formaldehyde transketolase, plastidic
R_GLYCNKc	Glycerone kinase, cytsosolic
R_GLYCNKs	Glycerone kinase, plastidic
R_ADSALc	Adenylosuccinate lyase, cytosolic
R_ADSALs	Adenylosuccinate lyase, plastidic
R_ARGSL1c	Argininosuccinate lyase
R_LATs	L-leucine aminotransferase, plastidic
R_LATm	L-leucine aminotransferase, cytosolic
R_GSNPc	guanosine phosphorylase
R_ADNPc	adenosine phosphorylase
R_INSPc	inosine phosphorylase
R_IMPc	Inosine 5-monophosphate phosphohydrolase
R_GMPS1c	GMP synthetase
R_GDKc	Guanylate kinase
R_DGDTc	2-Deoxyadenosine 5-diphosphate (GDP):oxidized-thioredoxin 2-oxidoreductase
R_DADTc	2-Deoxyadenosine 5-diphosphate (ADP):oxidized-thioredoxin 2-oxidoreductase
R_PI45PLCc	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase
R_PI5P4Kc	1-phosphatidylinositol-5-phosphate 4-kinase
R_PI4P5Kc	1-phosphatidylinositol-4-phosphate kinase
R_PIK4c	1-phosphatidylinositol 4-kinase
R_PIK3c	1-phosphatidylinositol 3-kinase
R_PI3P5Kc	1-phosphatidylinositol-3-phosphate 5-kinase
R_MI34Pc	Inositol-3-phosphate 4-kinase
R_MI346Pc	Inositol-3,4-diphosphate 6-kinase
R_MI3456Pc	Inositol-3,4,6-triphosphate 5-kinase
R_MI14PPc	D-myo-Inositol-1,4-bisphosphate 1-phosphohydrolase
R_MI134PPc	D-myo-Inositol 1,3,4-trisphosphate 1-phosphohydrolase
R_MI145PPc	Inositol-1,4,5-trisphosphate 5-phosphatase
R_MI1456PKc	inositol-polyphosphate multikinase 
R_MI145PKc	1D-myo-inositol-trisphosphate 3-kinase
R_MI134PK1c	Inositol-1,3,4-trisphosphate 5/6-kinase 1
R_MI134PK2c	Inositol-1,3,4-trisphosphate 5/6-kinase 2
R_MI1346PK1c	inositol-tetrakisphosphate 5-kinase
R_MI1346PK2c	inositol-tetrakisphosphate 5-kinase
R_IPKK2c	Inositol-pentakisphosphate 2-kinase
R_IPKK5c	Inositol-pentakisphosphate 5-kinase
R_IPKK4c	Inositol-pentakisphosphate 4-kinase
R_IPKK6c	Inositol-pentakisphosphate 6-kinase
R_PHYTASEc	6-phytase
R_MIHPPc	myo-inositol-hexakisphosphate 4-phosphohydrolase
R_MI1345PPc	inositol (1,3,4,5)-tetrakisphosphate 3-phosphatase
R_MI1345PP2c	D-myo-inositol(1,4,5)/(1,3,4,5)-polyphosphate 5-phosphatase
R_DHAD_DASH_bs	Dihydroxy-acid dehydratase
R_GCOADx	glutaryl-CoA degradation
R_GCOADCx	Glutaconyl-CoA decarboxylase
R_MCDH1m	2-methylacyl-CoA dehydrogenase
R_ECH1m	Enoyl-CoA hydratase
R_VALATs	L-valine aminotransferase, plastidic
R_VALATm	L-valine aminotransferase, mitochondrial
R_MTHFDym	Methylenetetrahydrofolate dehydrogenase (NADP+)
R_MTHFDys	Methylenetetrahydrofolate dehydrogenase (NADP+)
R_MTHFDyc	Methylenetetrahydrofolate dehydrogenase (NADP+)
R_GMPc	Guanosine 5-monophosphate phosphohydrolase
R_GNSKc	Guanosine 5-phosphotransferase
R_DAD2DAc	Deoxyadenosine aminohydrolase
R_DGSNPP	Deoxyguanosine phosphorylase
R_DINSPc	Deoxyinosine:orthophosphate ribosyltransferase
R_DAD2NPc	Deoxyadenosine:orthophosphate ribosyltransferase
R_ADNRHc	Adenosine ribohydrolase
R_PPPGPPPc	guanosine-5-triphosphate, 3-diphosphate pyrophosphatase
R_PRODHm	Proline dehydrogenase
R_P5CRyc	Pyrroline-5-carboxylate reductase (NADPH), cytosolic
R_P5CRys	Pyrroline-5-carboxylate reductase (NADPH), plastidic
R_CYSTALs	Cystathionine beta-lyase
R_GLCRPUic	Glucuronate-1-phosphate uridylyltransferase
R_XYLXYLc	xylan 1,4-beta-xylosidase
R_XSc	1,4-beta-D-xylan synthase
R_UG46DHc	UDP-glucose 4,6-dehydratase
R_PECTNc	Pectinesterase
R_UDDGEc	UDP-4-dehydro-6-deoxy-glucose 3,5-epimerase
R_URMNORc	UDP-L-rhamnose:NADP+ 4-oxidoreductase
R_HPRs	Hydroxypyruvate reductase (NAD), plastidic
R_HPRx	Hydroxypyruvate reductase (NAD), peroxisomal
R_HPRys	Hydroxypyruvate reductase (NADP), plastidic
R_HPRyx	Hydroxypyruvate reductase (NADP), peroxisomal
R_ASPCT1c	Aspartate carbamoyltransferase (asp-L)
R_UTPUc	UTP-monosaccharide-1-phosphate uridylyltransferase
R_GLCURKc	Glucuronokinase
R_GLYK1s	Glycerate kinase (3-PG)
R_GLYK2s	Glycerate kinase (2-PG)
R_G6PEc	glucose-6-phosphate 1-epimerase, cytosolic
R_G6PEs	glucose-6-phosphate 1-epimerase, plastidic
R_GLNKc	Gluconokinase, cytosolic
R_GLNKs	Gluconokinase, plastidic
R_XYLIc	Xylose isomerase
R_3HPPDc	3-hydroxypropionate dehydrogenase
R_ABTA1m	4-aminobutyrate aminotransferase (GABA-TK)
R_ABTA2m	4-aminobutyrate aminotransferase (GABA-TP)
R_GSNRHc	Guanosine ribohydrolase
R_HXANORc	hypoxanthine oxidoreductase
R_INSRHc	Inosine ribohydrolase
R_HOMATs	Homoserine O-acetyltransferase
R_HOMSTs	Homoserine O-succinyltransferase
R_HSDHys	Homoserine dehydrogenase (NADPH)
R_BAMYLs	beta-amylase 
R_GGSs	Glucan 1,4-alpha-glucosidase
R_MGHs	maltose glucohydrolase
R_SPPAs	starch phosphorylase
R_ACONc	Aconitase, cytosolic
R_ACONm	Aconitase, mitochondrial
R_PFPc	Diphosphate--fructose-6-phosphate 1-phosphotransferase
R_AGSs	Amylo-1,6-glucosidase
R_XTSNPc	Xanthosine phosphorylase
R_XSTNRHc	Xanthosine ribohydrolase
R_GSNDc	Guanosine deaminase
R_CYORm	Q-cytochrome c oxidoreductase (complex III)
R_NADORm	NADH-coenzyme Q oxidoreductase (complex I)
R_PTOXs	Plastid terminal oxidase
R_NADOR1u	NAD(P)H-dehydrogenase (complex I-like)
R_SUCDH1m	Succinate-Q oxidoreductase (complex II)
R_BCTA3s	Branched-chain amino acid (ile-L) aminotransferase, plastidic
